alt,temp,pressure,density,alpha,dynamic,kinetic
-1000,552.2,2193.8,0.00245,1120.3,3.76E-07,0.000154
0,518.7,2116.2,0.00238,1116.5,3.74E-07,0.000157
1000,515.1,2040.9,0.00231,1112.6,3.72E-07,0.000161
2000,511.5,1967.7,0.00224,1108.8,3.70E-07,0.000165
3000,508,1896.7,0.00218,1104.9,3.68E-07,0.000169
4000,504.4,1827.7,0.00211,1101,3.66E-07,0.000173
5000,500.8,1760.9,0.00205,1097.1,3.64E-07,0.000178
6000,497.3,1696,0.00199,1093.2,3.62E-07,0.000182
7000,493.7,1633.1,0.00193,1089.3,3.60E-07,0.000187
8000,490.2,1572.1,0.00187,1085.3,3.58E-07,0.000191
9000,486.6,1512.9,0.00181,1081.4,3.55E-07,0.000196
10000,483,1455.6,0.00176,1077.4,3.53E-07,0.000201
11000,479.5,1400.1,0.0017,1073.4,3.51E-07,0.000207
12000,475.9,1346.2,0.00165,1069.4,3.49E-07,0.000212
13000,472.3,1294.1,0.0016,1065.4,3.47E-07,0.000218
14000,468.8,1243.6,0.00155,1061.4,3.45E-07,0.000223
15000,465.2,1194.8,0.0015,1057.4,3.43E-07,0.000229
16000,461.7,1147.5,0.00145,1053.3,3.41E-07,0.000235
17000,458.1,1101.7,0.0014,1049.2,3.39E-07,0.000242
18000,454.4,1057.5,0.00136,1045.2,3.37E-07,0.000248
19000,451,1014.7,0.00131,1041.1,3.35E-07,0.000255
20000,447.4,973.3,0.00127,1036.9,3.32E-07,0.000262
21000,443.9,933.3,0.00122,1032.8,3.30E-07,0.00027
22000,440.3,894.6,0.00118,1028.7,3.28E-07,0.000277
23000,436.7,857.3,0.00114,1024.5,3.26E-07,0.000285
24000,433.2,821.2,0.0011,1020.3,3.24E-07,0.000293
25000,429.6,786.3,0.00107,1016.1,3.22E-07,0.000302
26000,426.1,752.7,0.00103,1011.9,3.19E-07,0.00031
27000,422.5,720.3,0.000993,1007.7,3.17E-07,0.00032
28000,419,689,0.000958,1003.4,3.15E-07,0.000329
29000,415.4,658.8,0.000924,999.1,3.13E-07,0.000339
30000,411.8,629.7,0.000891,994.9,3.11E-07,0.000349
31000,408.3,601.6,0.000858,990.6,3.08E-07,0.000359
32000,404.7,574.6,0.000827,986.2,3.06E-07,0.00037
33000,401.2,548.6,0.000797,981.9,3.04E-07,0.000382
34000,397.6,523.5,0.000767,977.5,3.02E-07,0.000393
35000,394.1,499.4,0.000738,973.1,3.00E-07,0.000406
36000,390.5,476.1,0.00071,968.8,2.97E-07,0.000419
37000,390,453.9,0.000678,968.1,2.97E-07,0.000438
38000,390,432.6,0.000646,968.1,2.97E-07,0.000459
39000,390,412.4,0.000616,968.1,2.97E-07,0.000482
40000,390,393.1,0.000587,968.1,2.97E-07,0.000506
41000,390,374.8,0.00056,968.1,2.97E-07,0.00053
42000,390,357.2,0.000534,968.1,2.97E-07,0.000556
43000,390,340.5,0.000509,968.1,2.97E-07,0.000584
44000,390,324.6,0.000485,968.1,2.97E-07,0.000612
45000,390,309.5,0.000462,968.1,2.97E-07,0.000642
46000,390,295,0.000441,968.1,2.97E-07,0.000674
47000,390,281.2,0.00042,968.1,2.97E-07,0.000707
48000,390,268.1,0.0004,968.1,2.97E-07,0.000741
49000,390,255.6,0.000382,968.1,2.97E-07,0.000778
50000,390,243.6,0.000364,968.1,2.97E-07,0.000816
51000,390,232.2,0.000347,968.1,2.97E-07,0.000856
52000,390,221.4,0.000331,968.1,2.97E-07,0.000898
53000,390,211.1,0.000315,968.1,2.97E-07,0.000942
54000,390,201.2,0.000305,968.1,2.97E-07,0.000988
